year,emission
1970,903068.2
1971,906650.5
1972,966840.7
1973,1007571.9
1974,1023705.9
1975,1167281.7
1976,1211172.8
1977,1358350.8
1978,1538312.5
1979,1578453
1980,1540963.3
1981,1522346.1
1982,1589420.3
1983,1668518.8
1984,1812931.4
1985,1824720
1986,1925246.4
1987,2053738.6
1988,2197488.7
1989,2262228.5
1990,2305424.7
1991,2426041.7
1992,2528134.1
1993,2853847.2
1994,3009377.1
1995,3331159.1
1996,3314136.5
1997,3393693.3
1998,3470353.2
1999,3408824
2000,3638654
2001,3813308.5
2002,4109790.6
2003,4760740.4
2004,5479756.5
2005,6184507.5
2006,6873123.3
2007,7513990
2008,7692704
2009,8218732
2010,8938638
2011,9776472
2012,9973353
2013,10406788
2014,10546277
2015,10461742
2016,10432751.4